Work Order #,Order Quantity,Pieces Scrapped,Total Scrap Weight (lbs),Scrap%,Sellable,Heats,Week Ending,Piece Weight (lbs),Dross Rate,Bent Rate,Outside Process Scrap Rate,Failed Zyglo Rate,Gouged Rate,Shift Rate,Missrun Rate,Core Rate,Cut Into Rate,Dirty Pattern Rate,Crush Rate,Zyglo Rate,Shrink Rate,Short Pour Rate,Runout Rate,Shrink Porosity Rate,Gas Porosity Rate,Over Grind Rate,Sand Rate,Tear Up Rate,Part ID
W01626,3,1,9,33.33,33400,167,2/24/2023,9,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,22
W01341,100,2,8,2,33400,167,2/24/2023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,23
W00258,402,4,88,1,33400,167,2/24/2023,22,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W01490,100,5,35,5,33400,167,2/24/2023,7,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
W01910,200,2,1,1,56000,280,3/6/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,25
W01746,308,2,3,0.65,56000,280,3/6/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.0032,26
W01402,400,5,8,1.25,56000,280,3/6/2023,2,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0.0075,14
W01032,501,1,2,0.2,56000,280,3/6/2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,27
W01994,351,6,131,1.71,56000,280,3/6/2023,22,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W01942,200,6,112,3,5400,27,3/10/2023,19,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,28
W00294,125,5,36,4,5400,27,3/10/2023,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.016,29
W01994,351,4,88,1.14,5400,27,3/10/2023,22,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W01851,102,2,31,1.96,5400,27,3/10/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196,0,30
W01977,10,2,4,20,5400,27,3/10/2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,31
W01979,16,1,1,6.25,5400,27,3/10/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,32
W01974,81,1,1,1.23,5400,27,3/10/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123,0,33
W01943,200,4,65,2,47200,236,3/20/2023,16,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,34
W00363,300,4,4,1.33,47200,236,3/20/2023,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0,35
W01546,152,8,10,5.26,47200,236,3/20/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526,0,36
W01318,752,12,10,1.6,47200,236,3/20/2023,1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0,37
W01994,351,6,131,1.71,47200,236,3/20/2023,22,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W01540,25,2,16,8,47200,236,3/20/2023,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,38
W01606,60,1,7,1.67,53200,266,3/27/2023,7,0,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,39
W01694,60,1,15,1.67,53200,266,3/27/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
W01031,501,18,43,3.59,53200,266,3/27/2023,2,0.0299,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
W01505,35,1,32,2.86,53200,266,3/27/2023,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,41
W01774,100,1,11,1,53200,266,3/27/2023,11,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
W01994,351,6,131,1.71,53200,266,3/27/2023,22,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W01971,256,1,2,0.39,53200,266,3/27/2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
W01641,100,2,12,2,28800,0,4/3/2023,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,44
W01625,500,4,8,0.8,28800,0,4/3/2023,2,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,45
W01416,1702,24,20,1.41,28800,0,4/3/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0.0047,37
W01897,174,4,25,2.3,28800,0,4/3/2023,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,46
W02072,450,6,131,1.33,28800,0,4/3/2023,22,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W01581,25,5,48,20,28800,0,4/3/2023,10,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,47
W01576,32,1,3,3.13,28800,0,4/3/2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313,0,48
W01625,500,4,8,0.8,9800,49,4/10/2023,2,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
W02226,600,1,3,0.17,9800,49,4/10/2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
W01416,1702,18,15,1.06,9800,49,4/10/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0,37
W01694,60,7,106,11.67,9800,49,4/10/2023,15,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333,0,40
W01851,102,3,46,2.94,9800,49,4/10/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,30
W01822,200,12,7,6,9800,49,4/10/2023,1,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,50
W01688,30,4,29,13.33,9800,49,4/10/2023,7,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,51
W01943,200,2,33,1,6,6,4/14/2023,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,52
W01942,200,3,56,1.5,6,6,4/14/2023,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,53
W01901,114,2,25,1.75,6,6,4/14/2023,12,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
W01616,300,1,9,0.33,6,6,4/14/2023,9,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,3
W00455,125,4,29,3.2,6,6,4/14/2023,7,0,0,0,0,0.02,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0.016,0,29
W01681,35,2,200,5.71,6,6,4/14/2023,100,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
W01625,500,16,31,3.2,6,6,4/14/2023,2,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
W01394,125,2,30,1.6,6,6,4/14/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,6
W01855,351,6,131,1.71,6,6,4/14/2023,22,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W02225,180,4,36,2.22,42200,211,4/24/2023,9,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0,0.0167,0,20
W01616,300,1,9,0.33,42200,211,4/24/2023,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
W01814,30,3,92,10,42200,211,4/24/2023,31,0,0,0,0,0.03,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0.0667,0,56
W01758,50,2,22,4,42200,211,4/24/2023,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,57
W01766,50,3,60,6,42200,211,4/24/2023,20,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,58
W01416,1702,16,13,0.94,42200,211,4/24/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,37
W01394,125,2,30,1.6,42200,211,4/24/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,6
W01403,400,5,8,1.25,42200,211,4/24/2023,2,0.0025,0,0,0,0.01,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,14
W01736,60,2,33,3.33,42200,211,4/24/2023,17,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0.0167,59
W02280,200,1,59,0.5,29600,148,5/1/2023,59,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
W02007,15,2,9,13.33,29600,148,5/1/2023,5,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,61
W02073,300,9,197,3,29600,148,5/1/2023,22,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W02093,25,2,120,8,29600,148,5/1/2023,60,0,0,0,0,0.04,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,62
W01369,100,1,37,1,45000,225,5/8/2023,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,63
W02116,144,2,3,1.39,45000,225,5/8/2023,2,0.0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
W01750,100,1,2,1,45000,225,5/8/2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,65
W02073,300,6,131,2,45000,225,5/8/2023,22,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W01887-01,10,1,18,10,45000,225,5/8/2023,18,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,66
W01882-01,100,2,12,2,45000,225,5/8/2023,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,18
W01635,75,1,32,1.33,45000,225,5/8/2023,32,0,0,0,0,0,0,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,67
W01187,405,5,6,1.23,31800,159,5/15/2023,1,0.0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
W01597,480,8,11,1.67,31800,159,5/15/2023,1,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
W01820,1000,2,3,0.2,31800,159,5/15/2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,69
W02228,600,2,5,0.33,31800,159,5/15/2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,49
W02340-01,100,1,9,1,31800,159,5/15/2023,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,70
W02073,300,6,131,2,31800,159,5/15/2023,22,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,15
W02351,1,17,163,0,31800,159,5/15/2023,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
W01902,179,7,86,3.91,34000,170,6/12/2023,12,0.0223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168,0,54
W02312,10,1,80,10,34000,170,6/12/2023,80,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,71
W01652,56,1,3,1.79,34000,170,6/12/2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179,0,72
W02074,300,11,241,3.67,34000,170,6/12/2023,22,0.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,15
W01916,50,1,12,2,34000,170,6/12/2023,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,16
W01980,272,1,1,0.37,34000,170,6/12/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0,73
W01599,420,8,9,1.9,52600,263,6/19/2023,1,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
W01597,300,2,3,0.67,52600,263,6/19/2023,1,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
W01611,180,3,22,1.67,52600,263,6/19/2023,7,0,0,0,0,0,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0.0167,39
W01617,360,5,43,1.39,52600,263,6/19/2023,9,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0,0.0056,0.0056,3
W02405,300,4,35,1.33,52600,263,6/19/2023,9,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,74
W02339-01,100,6,55,6,52600,263,6/19/2023,9,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.01,70
W01695,60,7,106,11.67,52600,263,6/19/2023,15,0,0,0,0,0,0,0,0,0,0,0,0.1167,0,0,0,0,0,0,0,0,40
W02076,402,6,131,1.49,52600,263,6/19/2023,22,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W02589,100,3,56,3,40200,201,7/17/2023,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,28
W02358,50,1,42,2,40200,201,7/17/2023,42,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,75
W02339-01,100,2,18,2,40200,201,7/17/2023,9,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,70
W02075,402,9,197,2.24,40200,201,7/17/2023,22,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,15
W01374,100,1,37,1,37600,188,7/24/2023,37,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
W01614,120,3,27,2.5,37600,188,7/24/2023,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,76
W01615,120,3,22,2.5,37600,188,7/24/2023,7,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
W02579,300,10,87,3.33,37600,188,7/24/2023,9,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,74
W02387,100,3,53,3,37600,188,7/24/2023,18,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,77
W02075,402,5,110,1.24,37600,188,7/24/2023,22,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W02449,100,4,148,4,47200,236,7/31/2023,37,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
W01615,120,3,22,2.5,47200,236,7/31/2023,7,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
W02578,346,6,52,1.73,47200,236,7/31/2023,9,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058,0,74
W02593,326,12,19,3.68,47200,236,7/31/2023,2,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.0123,0,78
W02493,10,2,32,20,47200,236,7/31/2023,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,79
W02076,402,9,197,2.24,47200,236,7/31/2023,22,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149,0,80
W02578,346,3,26,0.87,31200,156,8/7/2023,9,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
W02106,50,1,9,2,31200,156,8/7/2023,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,81
W02412,100,4,152,4,31200,156,8/7/2023,38,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
W02263,10,2,22,20,31200,156,8/7/2023,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,83
W02077,300,6,131,2,31200,156,8/7/2023,22,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,15
W02547-01,10,3,95,30,31200,156,8/7/2023,32,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,84
W01375,100,2,74,2,43800,219,8/14/2023,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,63
W01597,300,68,97,22.67,43800,219,8/14/2023,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,68
W01614,120,3,27,2.5,43800,219,8/14/2023,9,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
W02571,1500,2,3,0.13,43800,219,8/14/2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,14
W02614,50,1,32,2,43800,219,8/14/2023,32,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,41
W01835,120,3,27,2.5,23800,119,8/21/2023,9,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
W01834,60,1,7,1.67,23800,119,8/21/2023,7,0,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,39
W02742,48,4,6,8.33,23800,119,8/21/2023,2,0,0,0,0,0,0,0,0.0417,0,0,0,0,0,0,0,0,0,0,0.0833,0,64
W02571,1500,3,5,0.2,23800,119,8/21/2023,2,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0.0007,0,14
W02077,300,32,701,10.67,23800,119,8/21/2023,22,0,0,0.1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W02533,100,20,742,20,7000,35,8/28/2023,37,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
W02557,26,2,19,7.69,7000,35,8/28/2023,10,0,0,0,0,0,0,0,0,0,0,0.0769,0,0,0,0,0,0,0,0,0,85
W02658,10,1,16,10,7000,35,8/28/2023,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,86
W02420,10,1,17,10,7000,35,8/28/2023,17,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,87
W02453,100,8,132,8,7000,35,8/28/2023,17,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
W02459,100,2,22,2,63400,317,9/5/2023,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,2
W01596,576,94,134,16.32,63400,317,9/5/2023,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0.1563,0,0,0,0,0,0,0,89
W01837,60,1,7,1.67,63400,317,9/5/2023,7,0,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,39
W02671,500,4,8,0.8,63400,317,9/5/2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,45
W02732,25,14,840,56,63400,317,9/5/2023,60,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
W02652,50,5,66,10,63400,317,9/5/2023,13,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,91
W02076,402,1,22,0.25,63400,317,9/5/2023,22,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,15
W02537,100,6,222,6,31000,155,9/18/2023,37,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
W02730,70,9,136,12.86,31000,155,9/18/2023,15,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
W02616,50,1,11,2,31000,155,9/18/2023,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,92
W02076,402,15,329,3.73,31000,155,9/18/2023,22,0.0299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,15
W02918,40,1,10,2.5,21000,105,9/25/2023,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,93
W01965,100,5,65,5,21000,105,9/25/2023,13,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
W02499,100,8,141,8,21000,105,9/25/2023,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,77
W02615,50,2,21,4,21000,105,9/25/2023,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,95
W02616,50,1,11,2,21000,105,9/25/2023,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,92
W02077,300,7,153,2.33,21000,105,9/25/2023,22,0.02,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,15
W02538,100,6,222,6,0,0,10/14/2023,37,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,63
W02850,100,2,41,2,0,0,10/14/2023,21,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,96
W02219,75,1,15,1.33,0,0,10/14/2023,15,0,0,0,0,0,0,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W02758,43,1,58,2.33,0,0,10/14/2023,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233,0,97
W02731,70,12,181,17.14,0,0,10/14/2023,15,0,0,0,0,0,0,0,0,0,0,0,0.1714,0,0,0,0,0,0,0,0,40
W02943,76,2,6,2.63,0,0,10/14/2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263,0,98
W02894,25,2,106,8,0,0,10/14/2023,53,0,0,0,0,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,99
W02633-01,306,5,19,1.63,0,0,10/14/2023,4,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,100
W02864-01,80,1,19,1.25,0,0,10/14/2023,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,101
W02831,300,15,131,5,41200,206,10/16/2023,9,0.0233,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
W02902,128,1,6,0.78,41200,206,10/16/2023,6,0,0,0,0,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,44
W03048,9,4,56,44.44,41200,206,10/16/2023,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444,0,102
W02259-01,150,1,9,0.67,41200,206,10/16/2023,9,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,70
W02264,500,1,1,0.2,41200,206,10/16/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,103
W02733,25,1,60,4,41200,206,10/16/2023,60,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,90
W02883,26,1,10,3.85,41200,206,10/16/2023,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385,85
W02572,1500,2,3,0.13,41200,206,10/16/2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,14
W02719,20,9,133,45,41200,206,10/16/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,104
